date,participant,movementBlock,trial,colourLeft,colourRight,fLeft,fRight,gratingOrientationLeft,gratingOrientationRight,t,greenButtonPressed,redButtonPressed,leftPupilSize,rightPupilSize,leftEyeX,leftEyeY,rightEyeX,rightEyeY
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.809359,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.819442,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.830312,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.841434,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.852598,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.864964,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.87577,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.88602,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.897159,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.908025,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.919355,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.930294,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.941458,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.95322,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.963686,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.975218,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.985924,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.997092,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.008173,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.020566,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.030535,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.041346,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.05256,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.063769,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.074723,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.085881,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.097498,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.107992,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.119207,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.130789,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.142022,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.152518,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.163687,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.174766,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.186105,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.196928,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.208516,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.220531,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.230216,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.241437,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.252425,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.263489,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.274592,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.285731,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.296783,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.308064,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.319167,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.330806,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.341542,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.352354,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.36358,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.374751,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.386361,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.39685,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.407985,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.419163,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.431558,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.441386,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.45245,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.463577,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.474609,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.485675,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.496951,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,2.507989,0,1,0,0,0,0,0,0
